,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0029900001,0029900001,1610612752,1610612739,1999-11-02T00:00:00,1,3,Cleveland,1999-2000
1,0029900002,0029900002,1610612751,1610612754,1999-11-02T00:00:00,1,3,Indiana,1999-2000
2,0029900003,0029900003,1610612764,1610612737,1999-11-02T00:00:00,3,1,Washington,1999-2000
3,0029900004,0029900004,1610612748,1610612765,1999-11-02T00:00:00,2,2,Tied,1999-2000
4,0029900005,0029900005,1610612766,1610612753,1999-11-02T00:00:00,2,2,Tied,1999-2000
5,0029900006,0029900006,1610612761,1610612738,1999-11-02T00:00:00,2,2,Tied,1999-2000
6,0029900007,0029900007,1610612742,1610612744,1999-11-02T00:00:00,4,0,Dallas,1999-2000
7,0029900008,0029900008,1610612745,1610612749,1999-11-02T00:00:00,0,2,Milwaukee,1999-2000
8,0029900009,0029900009,1610612759,1610612755,1999-11-02T00:00:00,2,0,San Antonio,1999-2000
9,0029900010,0029900010,1610612743,1610612756,1999-11-02T00:00:00,1,3,Phoenix,1999-2000
10,0029900011,0029900011,1610612762,1610612747,1999-11-02T00:00:00,1,3,L.A. Lakers,1999-2000
11,0029900012,0029900012,1610612746,1610612760,1999-11-02T00:00:00,1,3,Seattle,1999-2000
12,0029900013,0029900013,1610612763,1610612757,1999-11-02T00:00:00,1,3,Portland,1999-2000
13,0029900014,0029900014,1610612738,1610612764,1999-11-03T00:00:00,3,1,Boston,1999-2000
14,0029900015,0029900015,1610612753,1610612765,1999-11-03T00:00:00,2,2,Tied,1999-2000
15,0029900016,0029900016,1610612739,1610612751,1999-11-03T00:00:00,2,2,Tied,1999-2000
16,0029900017,0029900017,1610612741,1610612752,1999-11-03T00:00:00,0,3,New York,1999-2000
17,0029900018,0029900018,1610612747,1610612763,1999-11-03T00:00:00,4,0,L.A. Lakers,1999-2000
18,0029900019,0029900019,1610612757,1610612746,1999-11-03T00:00:00,4,0,Portland,1999-2000
