0021900001,2019-10-22
0021900002,2019-10-22
0021900003,2019-10-23
0021900004,2019-10-23
0021900005,2019-10-23
0021900006,2019-10-23
0021900007,2019-10-23
0021900008,2019-10-23
0021900009,2019-10-23
0021900010,2019-10-23
0021900011,2019-10-23
0021900012,2019-10-23
0021900013,2019-10-23
0021900014,2019-10-24
0021900015,2019-10-24
0021900016,2019-10-24
0021900017,2019-10-25
0021900018,2019-10-25
0021900019,2019-10-25
0021900020,2019-10-25
0021900021,2019-10-25
0021900022,2019-10-25
0021900023,2019-10-25
0021900024,2019-10-25
0021900025,2019-10-25
0021900026,2019-10-26
0021900027,2019-10-26
0021900028,2019-10-26
0021900029,2019-10-26
0021900030,2019-10-26
0021900031,2019-10-26
0021900032,2019-10-26
0021900033,2019-10-26
0021900034,2019-10-26
0021900035,2019-10-26
0021900036,2019-10-27
0021900037,2019-10-27
0021900038,2019-10-27
0021900039,2019-10-27
0021900040,2019-10-27
0021900041,2019-10-28
0021900042,2019-10-28
0021900043,2019-10-28
0021900044,2019-10-28
0021900045,2019-10-28
0021900046,2019-10-28
0021900047,2019-10-28
0021900048,2019-10-28
0021900049,2019-10-28
0021900050,2019-10-28
0021900051,2019-10-28
0021900052,2019-10-29
0021900053,2019-10-29
0021900054,2019-10-29
0021900055,2019-10-30
0021900056,2019-10-30
0021900057,2019-10-30
0021900058,2019-10-30
0021900059,2019-10-30
0021900060,2019-10-30
0021900061,2019-10-30
0021900062,2019-10-30
0021900063,2019-10-30
0021900064,2019-10-30
0021900065,2019-10-30
0021900066,2019-10-31
0021900067,2019-10-31
0021900068,2019-10-31
0021900069,2019-11-01
0021900070,2019-11-01
0021900071,2019-11-01
0021900072,2019-11-01
0021900073,2019-11-01
0021900074,2019-11-01
0021900075,2019-11-01
0021900076,2019-11-01
0021900077,2019-11-02
0021900078,2019-11-02
0021900079,2019-11-02
0021900080,2019-11-02
0021900081,2019-11-02
0021900082,2019-11-02
0021900083,2019-11-02
0021900084,2019-11-02
0021900085,2019-11-03
0021900086,2019-11-03
0021900087,2019-11-03
0021900088,2019-11-03
0021900089,2019-11-03
0021900090,2019-11-03
0021900091,2019-11-04
0021900092,2019-11-04
0021900093,2019-11-04
0021900094,2019-11-04
0021900095,2019-11-04
0021900096,2019-11-04
0021900097,2019-11-05
0021900098,2019-11-05
0021900099,2019-11-05
0021900100,2019-11-05
0021900101,2019-11-05
0021900102,2019-11-05
0021900103,2019-11-06
0021900104,2019-11-06
0021900105,2019-11-06
0021900106,2019-11-06
0021900107,2019-11-06
0021900108,2019-11-06
0021900109,2019-11-06
0021900110,2019-11-06
0021900111,2019-11-06
0021900112,2019-11-07
0021900113,2019-11-07
0021900114,2019-11-07
0021900115,2019-11-07
0021900116,2019-11-08
0021900117,2019-11-08
0021900118,2019-11-08
0021900119,2019-11-08
0021900120,2019-11-08
0021900121,2019-11-08
0021900122,2019-11-08
0021900123,2019-11-08
0021900124,2019-11-08
0021900125,2019-11-08
0021900126,2019-11-08
0021900127,2019-11-09
0021900128,2019-11-09
0021900129,2019-11-09
0021900130,2019-11-09
0021900131,2019-11-09
0021900132,2019-11-10
0021900133,2019-11-10
0021900134,2019-11-10
0021900135,2019-11-10
0021900136,2019-11-10
0021900137,2019-11-10
0021900138,2019-11-10
0021900139,2019-11-10
0021900140,2019-11-11
0021900141,2019-11-11
0021900143,2019-11-11
0021900142,2019-11-11
0021900144,2019-11-11
0021900145,2019-11-11
0021900146,2019-11-12
0021900147,2019-11-12
0021900148,2019-11-12
0021900149,2019-11-12
0021900150,2019-11-12
0021900151,2019-11-12
0021900152,2019-11-12
0021900153,2019-11-12
0021900154,2019-11-13
0021900155,2019-11-13
0021900156,2019-11-13
0021900157,2019-11-13
0021900158,2019-11-13
0021900159,2019-11-13
0021900160,2019-11-13
0021900161,2019-11-14
0021900162,2019-11-14
0021900163,2019-11-14
0021900164,2019-11-14
0021900165,2019-11-14
0021900166,2019-11-14
0021900167,2019-11-15
0021900168,2019-11-15
0021900169,2019-11-15
0021900170,2019-11-15
0021900171,2019-11-15
0021900172,2019-11-15
0021900173,2019-11-15
0021900174,2019-11-15
0021900175,2019-11-16
0021900176,2019-11-16
0021900177,2019-11-16
0021900178,2019-11-16
0021900179,2019-11-16
0021900180,2019-11-16
0021900181,2019-11-16
0021900182,2019-11-16
0021900183,2019-11-17
0021900184,2019-11-17
0021900185,2019-11-17
0021900186,2019-11-17
0021900187,2019-11-17
0021900188,2019-11-17
0021900189,2019-11-18
0021900190,2019-11-18
0021900191,2019-11-18
0021900192,2019-11-18
0021900193,2019-11-18
0021900194,2019-11-18
0021900195,2019-11-18
0021900196,2019-11-18
0021900197,2019-11-18
0021900198,2019-11-19
0021900199,2019-11-19
0021900200,2019-11-19
0021900201,2019-11-19
